Accession	Class
AaCD00331182	2
AaCD00331183	2
AaCD00331184	2
AaCD00331185	2
AaCD00331621	2
AaCD00331622	1
AaCD00331623	2
AaCD00331624	2
AaCD00334887	2
AaCD00343391	2
AaCD00343815	1
AaCD00343816	1
AaCD00343817	1
AaCD00343818	1
AaCD00343819	1
AaCD00343820	1
AaCD00530801	2
AaCD00536236	1
AaCD00536509	1
AaCD00536510	1
AaCD00536511	1
AaCD00536512	2
AaCD00536513	1
AaCD00540113	2
AaCD00540114	0
AaCD00540115	1
AaCD00540519	2
AaCD00540520	2
AaCD00540521	0
AaCD00540522	1
AaCD00540523	0
AaCD00540524	0
AaCD00540525	1
AaCD00540526	1
AaCD00540782	2
AaCD00540783	2
AaCD00540914	1
AaCD00540915	1
AaCD00540916	2
AaCD00540917	1
AaCD00540918	2
AaCD00540919	1
AaCD00540920	2
AaCD00540921	1
AaCD00540945	0
AaCD00540947	1
AaCD00540948	1
AaCD00540949	1
AaCD00540950	1
AaCD00540951	0
AaCD00540952	2
AaCD00540953	2
AaCD00591520	2
AaCD00628066	2
AaCD00666018	1
AaCD00666030	2
AbCD00338224	2
AbCD00338225	0
AbCD00422928	2
AbCD00536428	2
AbCD00536429	1
AbCD00536430	1
AbCD00539648	1
AbCD00539650	1
AbCD00539651	1
AbCD00539652	0
AbCD00539653	0
AbCD00539654	1
AbCD00539655	1
AbCD00540181	1
AbCD00540207	1
AbCD00540208	1
AbCD00540209	1
AbCD00540210	1
AbCD00540211	1
AbCD00546496	1
AbCD00546497	1
AbCD00546498	2
AbCD00583997	2
AbCD00583998	0
AbCD00583999	0
AbCD00584000	0
AbCD00584001	2
AbCD00591547	2
AbCD00627881	2
AbCD00651803	2
AbCD00666019	1
AbCD00666252	1
AhCD00334885	2
AhCD00334886	0
AhCD00384690	0
AhCD00384691	0
AhCD00384692	2
AhCD00384693	2
AhCD00384694	2
AhCD00384695	2
AhCD00384696	2
AhCD00384697	2
AhCD00384698	1
AhCD00384699	2
AhCD00384700	2
AhCD00422921	2
AhCD00665997	0
ApCD00331280	2
ApCD00331281	2
ApCD00331570	2
ApCD00338223	0
ApCD00338413	0
ApCD00343865	1
ApCD00343866	1
ApCD00344007	2
ApCD00344008	2
ApCD00344009	0
ApCD00344010	2
ApCD00344011	1
ApCD00344379	0
ApCD00344380	0
ApCD00384921	0
ApCD00384922	1
ApCD00384923	0
ApCD00397435	2
ApCD00422969	2
ApCD00423453	2
ApCD00423459	0
ApCD00531239	2
ApCD00536516	2
ApCD00536517	2
ApCD00536518	2
ApCD00540576	2
ApCD00590316	0
ApCD00590317	2
ApCD00590318	2
ApCD00590319	1
ApCD00590320	2
ApCD00591410	2
ApCD00591424	1
ApCD00598808	0
ApCD00666054	0
ApCD00666055	2
ApCD00666084	2
ApCD00666085	2
ApCD00666086	2
ApCD00670577	2
AsCD00331600	2
AsCD00331601	2
AsCD00331602	1
AsCD00331603	1
AsCD00331604	1
AsCD00331605	1
AsCD00331660	0
AsCD00331704	1
AsCD00331705	1
AsCD00331706	1
AsCD00332009	0
AsCD00332010	1
AsCD00332011	0
AsCD00334915	0
AsCD00334916	1
AsCD00336890	2
AsCD00338480	1
AsCD00338686	2
AsCD00338687	2
AsCD00338689	2
AsCD00338691	2
AsCD00338692	2
AsCD00338695	2
AsCD00338696	2
AsCD00338698	2
AsCD00338699	2
AsCD00338700	2
AsCD00338704	2
AsCD00338710	2
AsCD00338714	2
AsCD00338715	2
AsCD00338717	2
AsCD00338918	1
AsCD00338919	2
AsCD00338920	0
AsCD00339415	1
AsCD00339416	1
AsCD00339615	1
AsCD00341381	1
AsCD00342880	2
AsCD00342881	1
AsCD00342882	1
AsCD00342883	1
AsCD00344185	2
AsCD00344186	1
AsCD00344187	2
AsCD00344363	2
AsCD00344364	2
AsCD00344681	2
AsCD00344682	2
AsCD00344683	2
AsCD00344684	2
AsCD00344685	2
AsCD00344686	2
AsCD00344687	2
AsCD00384953	2
AsCD00384954	2
AsCD00384955	2
AsCD00384956	0
AsCD00384957	0
AsCD00384958	0
AsCD00384959	2
AsCD00423039	2
AsCD00423144	2
AsCD00423316	1
AsCD00423319	2
AsCD00423322	2
AsCD00423323	2
AsCD00530892	1
AsCD00530928	2
AsCD00531063	2
AsCD00531064	2
AsCD00531065	0
AsCD00531236	2
AsCD00531237	2
AsCD00531238	2
AsCD00531240	2
AsCD00536192	1
AsCD00536193	2
AsCD00536194	2
AsCD00540017	1
AsCD00540018	1
AsCD00540019	1
AsCD00540020	0
AsCD00540922	2
AsCD00540923	1
AsCD00540988	0
AsCD00540989	2
AsCD00546505	2
AsCD00546506	2
AsCD00546507	1
AsCD00546586	0
AsCD00590202	2
AsCD00590203	2
AsCD00590205	2
AsCD00590206	2
AsCD00590207	1
AsCD00590208	2
AsCD00591106	1
AsCD00591107	1
AsCD00591108	1
AsCD00591109	2
AsCD00591110	1
AsCD00591111	2
AsCD00591112	2
AsCD00591113	1
AsCD00591114	1
AsCD00591115	1
AsCD00627977	2
AsCD00628074	2
AsCD00665962	2
AsCD00665966	2
AsCD00666016	1
AsCD00666191	2
AsCD00666259	0
AtCD00331176	0
AtCD00331177	0
AtCD00331178	0
AtCD00331179	0
AtCD00331180	0
AtCD00331181	0
AtCD00331861	0
AtCD00334693	1
AtCD00334694	0
AtCD00334695	2
AtCD00334884	0
AtCD00334992	2
AtCD00334993	2
AtCD00334995	2
AtCD00334996	2
AtCD00334997	2
AtCD00334998	2
AtCD00334999	2
AtCD00335000	1
AtCD00335001	2
AtCD00335002	2
AtCD00335003	2
AtCD00335004	2
AtCD00335005	2
AtCD00335006	1
AtCD00335008	2
AtCD00335009	2
AtCD00335010	0
AtCD00335011	0
AtCD00335013	2
AtCD00335014	0
AtCD00335015	2
AtCD00338281	2
AtCD00338823	2
AtCD00338824	2
AtCD00338825	2
AtCD00338826	2
AtCD00338827	2
AtCD00338828	2
AtCD00338829	0
AtCD00338830	2
AtCD00339954	2
AtCD00339955	0
AtCD00342753	2
AtCD00342754	2
AtCD00342755	0
AtCD00342756	1
AtCD00342757	0
AtCD00342758	0
AtCD00344152	1
AtCD00344153	0
AtCD00344154	2
AtCD00344155	2
AtCD00344156	1
AtCD00384890	2
AtCD00397356	2
AtCD00397357	2
AtCD00422860	2
AtCD00423055	2
AtCD00423056	2
AtCD00423057	2
AtCD00423058	2
AtCD00423064	2
AtCD00423303	2
AtCD00423306	2
AtCD00423307	1
AtCD00423309	2
AtCD00423428	2
AtCD00423429	2
AtCD00423430	2
AtCD00423431	2
AtCD00423432	2
AtCD00423433	0
AtCD00423434	0
AtCD00423443	2
AtCD00530824	0
AtCD00530858	2
AtCD00531261	2
AtCD00531262	0
AtCD00531263	2
AtCD00531264	2
AtCD00536203	1
AtCD00536204	1
AtCD00536205	2
AtCD00536206	2
AtCD00536207	1
AtCD00536208	1
AtCD00536209	2
AtCD00536210	1
AtCD00536211	2
AtCD00536212	2
AtCD00536213	2
AtCD00536214	1
AtCD00536215	0
AtCD00536216	2
AtCD00536232	0
AtCD00536233	2
AtCD00536234	2
AtCD00536235	2
AtCD00536506	1
AtCD00536507	0
AtCD00536508	1
AtCD00540476	2
AtCD00540477	1
AtCD00540478	2
AtCD00540479	2
AtCD00540517	2
AtCD00540518	2
AtCD00540883	2
AtCD00540938	2
AtCD00546454	1
AtCD00589305	0
AtCD00589306	0
AtCD00589307	0
AtCD00589308	2
AtCD00589309	2
AtCD00589310	2
AtCD00589311	2
AtCD00589312	2
AtCD00589313	2
AtCD00589314	0
AtCD00589315	0
AtCD00589316	1
AtCD00589317	2
AtCD00589318	2
AtCD00589319	0
AtCD00589320	2
AtCD00589321	0
AtCD00589322	1
AtCD00589323	0
AtCD00589324	2
AtCD00589325	0
AtCD00589326	2
AtCD00589328	2
AtCD00589329	2
AtCD00589330	2
AtCD00589331	2
AtCD00589332	2
AtCD00589333	2
AtCD00589334	2
AtCD00589335	0
AtCD00589336	1
AtCD00589337	1
AtCD00589338	0
AtCD00591460	1
AtCD00591461	2
AtCD00626496	2
AtCD00627709	2
AtCD00627710	2
AtCD00627840	2
AtCD00627841	1
AtCD00627871	1
AtCD00627872	0
AtCD00627873	2
AtCD00665331	0
AtCD00665931	2
AtCD00665932	0
AtCD00666137	1
AtCD00666138	2
AtCD00666260	0
AtCD00670531	2
AtCD00670651	1
AxCD00584512	2
AxCD00596915	2
AxCD00596916	2
AxCD00600559	2
AxCD00600560	0
AxCD00600561	1
AxCD00600562	1
BaCD00331170	2
BaCD00331171	2
BaCD00331172	2
BaCD00331173	0
BaCD00331174	1
BaCD00331175	0
BaCD00596905	0
BaCD00598691	2
BaCD00626354	2
BbCD00331033	2
BbCD00331034	2
BbCD00331035	2
BbCD00331036	2
BbCD00331037	2
BbCD00331038	0
BbCD00334967	1
BbCD00334968	1
BbCD00338322	1
BbCD00338820	0
BbCD00338821	0
BbCD00338822	2
BbCD00339544	2
BbCD00339545	2
BbCD00339756	2
BbCD00339785	2
BbCD00339786	2
BbCD00339965	2
BbCD00339994	0
BbCD00339995	0
BbCD00343821	0
BbCD00343822	1
BbCD00343823	0
BbCD00384829	2
BbCD00384830	2
BbCD00384831	2
BbCD00384832	2
BbCD00384833	2
BbCD00384834	2
BbCD00384835	2
BbCD00384836	2
BbCD00384837	0
BbCD00384838	1
BbCD00384904	2
BbCD00384905	2
BbCD00384906	2
BbCD00384907	0
BbCD00384908	2
BbCD00385182	2
BbCD00385183	2
BbCD00385184	0
BbCD00385185	0
BbCD00385186	2
BbCD00385187	1
BbCD00385188	0
BbCD00385189	1
BbCD00385190	2
BbCD00385191	2
BbCD00385192	1
BbCD00385193	2
BbCD00385270	2
BbCD00385282	2
BbCD00385283	2
BbCD00385284	2
BbCD00385285	1
BbCD00385286	2
BbCD00423458	1
BbCD00530996	2
BbCD00531275	2
BbCD00531289	2
BbCD00536220	2
BbCD00536221	2
BbCD00536427	2
BbCD00539780	0
BbCD00539781	1
BbCD00539782	0
BbCD00539783	2
BbCD00539784	2
BbCD00539785	1
BbCD00539786	0
BbCD00539787	1
BbCD00539788	1
BbCD00539789	0
BbCD00539790	0
BbCD00539791	1
BbCD00539792	2
BbCD00539793	1
BbCD00539794	1
BbCD00539795	1
BbCD00539796	2
BbCD00539797	1
BbCD00539798	1
BbCD00539799	0
BbCD00539800	0
BbCD00539992	0
BbCD00540021	0
BbCD00540022	0
BbCD00540023	0
BbCD00540024	0
BbCD00540100	1
BbCD00540101	1
BbCD00540102	1
BbCD00540446	1
BbCD00541045	0
BbCD00541046	0
BbCD00541047	0
BbCD00584211	2
BbCD00584514	1
BbCD00584515	1
BbCD00596929	0
BbCD00597215	0
BbCD00597216	1
BbCD00597217	0
BbCD00597218	2
BbCD00597219	0
BbCD00597220	0
BbCD00597221	0
BbCD00597222	0
BbCD00597223	0
BbCD00597224	0
BbCD00597225	0
BbCD00597226	1
BbCD00597227	0
BbCD00597228	0
BbCD00597229	2
BbCD00597230	1
BbCD00597231	0
BbCD00598842	2
BbCD00600787	0
BbCD00600788	2
BbCD00627887	2
BbCD00627888	2
BbCD00627889	2
BbCD00627890	2
BbCD00628072	0
BbCD00628113	1
BbCD00670505	0
BcCD00331029	2
BcCD00331030	0
BcCD00331031	2
BcCD00331032	2
BcCD00331471	2
BcCD00331474	0
BcCD00331476	2
BcCD00331620	2
BcCD00331695	2
BcCD00331696	2
BcCD00331746	1
BcCD00331747	2
BcCD00331936	2
BcCD00331937	1
BcCD00331938	0
BcCD00334732	1
BcCD00334733	1
BcCD00334734	0
BcCD00334735	0
BcCD00334736	0
BcCD00334858	2
BcCD00334859	2
BcCD00334860	0
BcCD00334861	2
BcCD00334862	1
BcCD00334863	1
BcCD00334864	0
BcCD00334865	1
BcCD00334866	2
BcCD00334867	2
BcCD00334868	0
BcCD00334869	0
BcCD00334870	2
BcCD00336865	2
BcCD00336866	0
BcCD00338319	2
BcCD00338320	2
BcCD00338321	2
BcCD00338397	1
BcCD00338398	1
BcCD00338502	2
BcCD00338503	2
BcCD00338504	2
BcCD00338585	2
BcCD00338586	2
BcCD00338955	2
BcCD00338956	2
BcCD00339512	1
BcCD00339513	1
BcCD00339514	1
BcCD00339515	1
BcCD00339516	2
BcCD00339517	1
BcCD00339518	1
BcCD00339519	1
BcCD00339520	1
BcCD00339542	0
BcCD00339543	1
BcCD00339700	2
BcCD00339753	1
BcCD00339754	1
BcCD00339755	2
BcCD00340086	2
BcCD00341383	1
BcCD00384743	2
BcCD00384744	0
BcCD00384745	2
BcCD00384792	2
BcCD00384793	2
BcCD00384794	2
BcCD00384795	2
BcCD00384995	0
BcCD00384996	2
BcCD00384997	2
BcCD00384998	2
BcCD00384999	2
BcCD00385000	0
BcCD00385001	1
BcCD00385002	0
BcCD00385003	0
BcCD00385004	2
BcCD00385005	2
BcCD00385006	2
BcCD00385007	1
BcCD00385008	2
BcCD00385009	2
BcCD00385010	2
BcCD00385011	0
BcCD00385012	2
BcCD00385013	2
BcCD00385014	2
BcCD00385015	2
BcCD00385016	0
BcCD00385017	2
BcCD00422900	0
BcCD00423092	0
BcCD00423093	1
BcCD00423094	1
BcCD00423099	2
BcCD00423115	2
BcCD00530737	2
BcCD00530738	0
BcCD00531013	0
BcCD00531160	2
BcCD00536422	1
BcCD00536423	2
BcCD00536424	2
BcCD00536425	2
BcCD00536426	2
BcCD00536496	0
BcCD00540347	0
BcCD00540417	2
BcCD00540698	0
BcCD00540699	1
BcCD00540748	2
BcCD00540749	2
BcCD00540750	2
BcCD00540751	2
BcCD00540752	2
BcCD00540753	2
BcCD00540754	2
BcCD00540756	2
